amendment_indicator,amendment_indicator_desc,beneficiary_committee_name,candidate_first_name,candidate_id,candidate_last_name,candidate_middle_name,candidate_name,candidate_office,candidate_office_description,candidate_office_district,candidate_office_state,candidate_party,category_code,category_code_full,comm_dt,name,committee_id,committee_type,designation,designation_full,party,party_full,state,city,cycle,is_active,organization_type,organization_type_full,treasurer_name,affiliated_committee_name,filing_frequency,expenditure_amount,expenditure_date,expenditure_description,dissemination_date,support_oppose_indicator,election_type,election_type_full,fec_election_type_desc,fec_election_year,entity_type,entity_type_desc,payee_first_name,payee_last_name,payee_middle_name,payee_city,payee_occupation,file_number,filing_form,image_number,line_number,link_id,memo_code,memo_code_full,memo_text,memoed_subtotal,original_sub_id,pdf_url,report_type,report_year,schedule_type,schedule_type_full,sub_id,transaction_id,conduit_committee_id,conduit_committee_name,conduit_committee_city,conduit_committee_state
N,,,YOUNG,H8CA39240,KIM,,"KIM, YOUNG",H,,40,CA,REP,004,Advertising Expenses ,,AMERICANS 4 SECURITY PAC,C00733352,O,U,Unauthorized,,,WI,PLOVER,2026,True,,,"KARAS, MATTHEW",NONE,Q,75000.0,2026-05-14,MEDIA BUY: (CABLE/DIGITAL),2026-05-14,O,P2026,,,,,,,,,JACKSONVILLE,,1974918,F24,202605149866964799,24,4051420261510326037,,,,False,,https://docquery.fec.gov/cgi-bin/fecimg/?202605149866964799,48,2026,SE,ITEMIZED INDEPENDENT EXPENDITURES,4051420261510401086,SE.4636,C00733352,,,
N,,,JAMES,H6GA01109,KINGSTON,MORRIS,"KINGSTON, JAMES MORRIS",H,,01,GA,REP,004,Advertising Expenses ,,GEORGIA FIRST ACTION PAC,C00904706,O,U,Unauthorized,,,GA,ALPHARETTA,2026,True,,,"BOLES, JASON D",NONE,Q,26400.0,2026-05-14,STREAMING VIDEO IN SUPPORT,2026-05-14,S,P2026,,,,,,,,,LIGHTHOUSE POINT,,1974896,F24,202605149866964130,24,4051420261510326036,,,,False,,https://docquery.fec.gov/cgi-bin/fecimg/?202605149866964130,24,2026,SE,ITEMIZED INDEPENDENT EXPENDITURES,4051420261510401085,E-46,,,,
N,,,JAMES,H6GA01109,KINGSTON,MORRIS,"KINGSTON, JAMES MORRIS",H,,01,GA,REP,004,Advertising Expenses ,,GEORGIA FIRST ACTION PAC,C00904706,O,U,Unauthorized,,,GA,ALPHARETTA,2026,True,,,"BOLES, JASON D",NONE,Q,11950.0,2026-05-14,DIGITAL ADVERTISING IN SUPPORT,2026-05-14,S,P2026,,,,,,,,,LIGHTHOUSE POINT,,1974896,F24,202605149866964129,24,4051420261510326036,,,,False,,https://docquery.fec.gov/cgi-bin/fecimg/?202605149866964129,24,2026,SE,ITEMIZED INDEPENDENT EXPENDITURES,4051420261510401084,E-45,,,,
N,,,JAMES,H6GA01109,KINGSTON,MORRIS,"KINGSTON, JAMES MORRIS",H,,01,GA,REP,004,Advertising Expenses ,,GEORGIA FIRST ACTION PAC,C00904706,O,U,Unauthorized,,,GA,ALPHARETTA,2026,True,,,"BOLES, JASON D",NONE,Q,-63350.0,2026-05-14,DIGITAL ADVERTISING BUY IN SUPPORT,2026-05-14,S,P2026,,,,,,,,,LIGHTHOUSE POINT,,1974896,F24,202605149866964129,24,4051420261510326036,,,,False,,https://docquery.fec.gov/cgi-bin/fecimg/?202605149866964129,24,2026,SE,ITEMIZED INDEPENDENT EXPENDITURES,4051420261510401083,E-43,,,,
N,,,ALANI INES,S6MT00253,BANKHEAD,,"BANKHEAD, ALANI INES",S,,00,MT,DEM,,,,PROGRESSIVE VET PAC,C00948521,O,U,Unauthorized,,,MT,BILLINGS,2026,True,,,"FUNK, MOFFIE",NONE,Q,97000.0,2026-05-14,DIRECT MAIL ADVERTISING,2026-05-14,S,P2026,,,,,,,,,WASHINGTON,,1974831,F24,202605149866963234,24,4051420261510326026,,,,False,,https://docquery.fec.gov/cgi-bin/fecimg/?202605149866963234,48,2026,SE,ITEMIZED INDEPENDENT EXPENDITURES,4051420261510401071,SE.4116,C00948521,,,
N,,,JOHN SEN,S2TX00106,CORNYN,,"CORNYN, JOHN SEN",S,,00,TX,REP,,,,LONE STAR LIBERTY PAC,C00901223,O,U,Unauthorized,,,OH,DUBLIN,2026,True,,,"PHILLIPS, ROBERT III",NONE,Q,102596.0,2026-05-14,PRINT ADS,2026-05-14,O,R2026,RUNOFF,,,,,,,,LOS ANGELES,,1974768,F24,202605149866962043,24,4051420261510326022,,,,False,,https://docquery.fec.gov/cgi-bin/fecimg/?202605149866962043,48,2026,SE,ITEMIZED INDEPENDENT EXPENDITURES,4051420261510401056,SE.4709,C00901223,,,
N,,,ALA,H6PA03245,STANFORD,,"STANFORD, ALA",H,,03,PA,DEM,006,Campaign Materials,,"MCDOWELL, SETH",C90023441,I,U,Unauthorized,,,PA,PHILADELPHIA,2026,True,,,,,Q,811.2,2026-05-14,POSTAGE,,S,P2026,PRIMARY,,,,,,,,FLOURTOWN,,1974927,F5,202605149866965133,,4051420261510327002,,,,False,,https://docquery.fec.gov/cgi-bin/fecimg/?202605149866965133,24,2026,SE-F57,FOR EACH INDEPENDENT EXPENDITURE MADE,4051420261510328003,F57.000002,,,,
N,,,COLIN,H6TX33082,ALLRED,,"ALLRED, COLIN",H,,33,TX,,,,,DON'T MESS WITH TX PAC,C00938589,V,U,Unauthorized,,,MO,SAINT LOUIS,2026,True,,,"DENIGAN, LAUREN",NONE,Q,55000.0,2026-05-14,DIGITAL ADVERTISING,2026-05-14,O,R2026,RUNOFF,,,,,,,,WASHINGTON,,1974599,F24,202605139866953745,24,4051320261510154038,,,,False,,https://docquery.fec.gov/cgi-bin/fecimg/?202605139866953745,24,2026,SE,ITEMIZED INDEPENDENT EXPENDITURES,4051320261510296229,SE.4139,C00938589,,,
N,,,JULIE,H4TX32089,JOHNSON,,"JOHNSON, JULIE",H,,33,TX,DEM,004,Advertising Expenses ,,DON'T MESS WITH TX PAC,C00938589,V,U,Unauthorized,,,MO,SAINT LOUIS,2026,True,,,"DENIGAN, LAUREN",NONE,Q,27086.05,2026-05-14,DIRECT MAIL,2026-05-14,S,R2026,RUNOFF,,,,,,,,WASHINGTON,,1974475,F24,202605139866945153,24,4051320261510154016,,,,False,,https://docquery.fec.gov/cgi-bin/fecimg/?202605139866945153,24,2026,SE,ITEMIZED INDEPENDENT EXPENDITURES,4051320261510296034,SE.4132,C00938589,,,
N,,,COLIN,H6TX33082,ALLRED,,"ALLRED, COLIN",H,,33,TX,,004,Advertising Expenses ,,DON'T MESS WITH TX PAC,C00938589,V,U,Unauthorized,,,MO,SAINT LOUIS,2026,True,,,"DENIGAN, LAUREN",NONE,Q,27086.05,2026-05-14,DIRECT MAIL,2026-05-14,O,R2026,RUNOFF,,,,,,,,WASHINGTON,,1974475,F24,202605139866945153,24,4051320261510154016,,,,False,,https://docquery.fec.gov/cgi-bin/fecimg/?202605139866945153,24,2026,SE,ITEMIZED INDEPENDENT EXPENDITURES,4051320261510296033,SE.4130,C00938589,,,
A,,,MIKE,H8CA01109,THOMPSON,,"THOMPSON, MIKE",H,,04,CA,DEM,004,Advertising Expenses ,,NEW LEADERSHIP NOW,C00900993,O,U,Unauthorized,,,CA,SAN FRANCISCO,2026,True,,,"ALVAREZ, MATTHEW",NONE,Q,11740.0,2026-05-13,DIGITAL ADS,2026-05-13,O,P2026,,,,,,,,,NEW YORK,,1974976,F24,202605149866966298,24,4051420261510326052,,,,False,,https://docquery.fec.gov/cgi-bin/fecimg/?202605149866966298,48,2026,SE,ITEMIZED INDEPENDENT EXPENDITURES,4051420261510401123,WFT2026414746-1,,,,
A,,,ERIC,H6CA04222,JONES,,"JONES, ERIC",H,,04,CA,DEM,004,Advertising Expenses ,,NEW LEADERSHIP NOW,C00900993,O,U,Unauthorized,,,CA,SAN FRANCISCO,2026,True,,,"ALVAREZ, MATTHEW",NONE,Q,6918.16,2026-05-13,DIGITAL ADS,2026-05-13,S,P2026,,,,,,,,,NEW YORK,,1974976,F24,202605149866966298,24,4051420261510326052,,,,False,,https://docquery.fec.gov/cgi-bin/fecimg/?202605149866966298,48,2026,SE,ITEMIZED INDEPENDENT EXPENDITURES,4051420261510401122,WFT2026414743-1,,,,
N,,,JASMEET,H6CA22208,BAINS,,"BAINS, JASMEET",H,,22,CA,DEM,,,,EDW ACTION FUND,C00863472,V,U,Unauthorized,,,DC,WASHINGTON,2026,True,,,"OLDFIELD, ELI",PRO-CHOICE MAJORITY 2024,M,6156.4,2026-05-13,DIRECT MAIL ADVERTISING,2026-05-13,S,P2026,,,,,,,,,PASADENA,,1974972,F24,202605149866966116,24,4051420261510326051,,,NON-CONTRIBUTION ACCOUNT,False,,https://docquery.fec.gov/cgi-bin/fecimg/?202605149866966116,24,2026,SE,ITEMIZED INDEPENDENT EXPENDITURES,4051420261510401120,500327363,,,,
N,,,MIKE,H8CA01109,THOMPSON,,"THOMPSON, MIKE",H,,04,CA,DEM,004,Advertising Expenses ,,NEW LEADERSHIP NOW,C00900993,O,U,Unauthorized,,,CA,SAN FRANCISCO,2026,True,,,"ALVAREZ, MATTHEW",NONE,Q,11740.0,2026-05-13,DIGITAL ADS,2026-05-13,O,P2026,,,,,,,,,NEW YORK,,1974963,F24,202605149866965653,24,4051420261510326046,,,,False,,https://docquery.fec.gov/cgi-bin/fecimg/?202605149866965653,48,2026,SE,ITEMIZED INDEPENDENT EXPENDITURES,4051420261510401109,WFT2026414746-1,C00900993,,,
